municipio,provincia,comarca
Selaya,Cantabria,
Aranjuez,Madrid,
Narón,A Coruña,Ferrol
Ribera Alta,Araba/Álava,Añanako kuadrilla
Pobla de Segur (La),Lleida,Pallars Jussà
Bóveda de Toro (La),Zamora,
Tudela de Duero,Valladolid,
Mengibar,Jaén,
Sopelana,Bizkaia,
Antigua,Las Palmas,
Menasalbas,Toledo,
Alameda de la Sagra,Toledo,
Ochagaváa/Otsagabia,Navarra,
Camprodon,Girona,Ripollès
Arrankudiaga,Bizkaia,
Villasexmir,Valladolid,
Cevico de la Torre,Palencia,
Balsareny,Barcelona,Bages
Celanova,Ourense,Terra da Celanova
Escala (L'),Girona,Alt Empordà
Valdepeñas,Ciudad Real,
Godelleta,Valencia,
Miedes de Aragón,Zaragoza,Comunidad de Calatayud
Mojados,Valladolid,
Ames,A Coruña,Santiago
Astudillo,Palencia,
Castrillo-Tejeriego,Valladolid,
Villaumbrales,Palencia,
Guadalajara,Guadalajara,
Piña de Campos,Palencia,
Torralba de Ribota,Zaragoza,Comunidad de Calatayud
Portillo de Toledo,Toledo,
Lepe,Huelva,Costa Occidental
Guardia (La),Toledo,
Masnou (El),Barcelona,Maresme
Santa María de Guía de Gran Canaria,Las Palmas,
Vilar de Barrio,Ourense,A Limia
Petrer,Alicante,el Vinalopó Mitjà / El Vinalopó Medio
Albuixech,Valencia,
Buñol,Valencia,
Casas del Castañar,Cáceres,
Sant Joan de les Abadesses,Girona,Ripollès
Tielmes,Madrid,
Tembleque,Toledo,
Picassent,Valencia,l'Horta Sud
Almazán,Soria,
Sitges,Barcelona,Garraf
Flaçà,Girona,Gironès
Almàssera,Valencia,
Mazarambroz,Toledo,
Vielha e Mijaran,Lleida,Val d'Aran
Lantadilla,Palencia,
Sariego,Asturias,
Sotosalbos,Segovia,
Firgas,Las Palmas,
Campo de Criptana,Ciudad Real,
Villamayor de Calatrava,Ciudad Real,
Puebla del Práncipe,Ciudad Real,
Villamuriel de Cerrato,Palencia,
Mirabel,Cáceres,
Saceruela,Ciudad Real,
Aranda de Moncayo,Zaragoza,Aranda
Barco de Valdeorras (O),Ourense,Valdeorras
Sonseca,Toledo,
Montesclaros,Toledo,
Vespella de Gaià,Tarragona,Tarragonès
Gelida,Barcelona,Alt Penedès
Navamorcuende,Toledo,
Velada,Toledo,
San Pablo de los Montes,Toledo,
Arbizu,Navarra,Sakana
Espinar (El),Segovia,
Benahavás,Málaga,
Benasque,Huesca,
Plasencia,Cáceres,
Molinos (Los),Madrid,
Escalante,Cantabria,
Vinyols i els Arcs,Tarragona,Baix Camp
Camargo,Cantabria,
Valdepiélago,León,
Cartagena,Murcia,Campo de Cartagena y Mar Menor
Duruelo de la Sierra,Soria,
Caldes d'Estrac,Barcelona,Maresme
Rozas de Madrid (Las),Madrid,
Segurilla,Toledo,
Zarzalejo,Madrid,
Cartaya,Huelva,Costa Occidental
Tegueste,Santa Cruz de Tenerife,
Chantada,Lugo,Chantada
Tortosa,Tarragona,Baix Ebre
Algeciras,Cádiz,Campo de Gibraltar
Noez,Toledo,
Molins de Rei,Barcelona,Baix Llobregat
Rafelbuñol/Rafelbunyol,Valencia,
Conca de Dalt,Lleida,Pallars Jussà
Solosancho,Ávila,
Potes,Cantabria,
Lanestosa,Bizkaia,
Burriana,Castellón,
Salas,Asturias,
Enguera,Valencia,
Cuenca,Cuenca,
Almanza,León,
Lopera,Jaén,
Argés,Toledo,
Torrejón de Ardoz,Madrid,
Mata (La),Toledo,
Villaquilambre,León,
Navia,Asturias,
Palomares del Río,Sevilla,
Montanejos,Castellón,
Casavieja,Ávila,
Aranga,A Coruña,Betanzos
Tazacorte,Santa Cruz de Tenerife,
Chapineráa,Madrid,
Almendral,Badajoz,
Montblanc,Tarragona,Conca de Barberà
Quesada,Jaén,
Pinto,Madrid,
Sant Salvador de Guardiola,Barcelona,Bages
Teverga,Asturias,
Muáños,Ourense,
Cazalegas,Toledo,
Sant Llorenç Savall,Barcelona,Vallès Occidental
Montmell (El),Tarragona,Baix Penedès
Pereruela,Zamora,
Puerta de Segura (La),Jaén,
Santoña,Cantabria,
Subirats,Barcelona,Alt Penedès
Marbella,Málaga,Costa del Sol Occidental
Buitrago del Lozoya,Madrid,
Cunit,Tarragona,Baix Penedès
Villar de la Yegua,Salamanca,
Quart,Girona,Gironès
Flix,Tarragona,Ribera d'Ebre
Guarda (A),Pontevedra,O Baixo Miño
Vilafranca del Penedès,Barcelona,Alt Penedès
Igualada,Barcelona,Anoia
Granollers,Barcelona,Vallès Oriental
Agaete,Las Palmas,
Puerto Real,Cádiz,Bahía de Cádiz
Boadilla del Monte,Madrid,
Tomelloso,Ciudad Real,
Gálvez,Toledo,
Onás,Asturias,
Urda,Toledo,
Lena,Asturias,
Fuente de Cantos,Badajoz,
San Vicente del Raspeig,Alicante,l'Alacantí
Sant Sadurná d'Anoia,Barcelona,
Orihuela del Tremedal,Teruel,Sierra de Albarracín
Ribamontán al Monte,Cantabria,
Vilanova del Camí,Barcelona,Anoia
Almodóvar del Campo,Ciudad Real,
Ortuella,Bizkaia,
Vilassar de Mar,Barcelona,Maresme
Torla,Huesca,
Casar de Cáceres,Cáceres,
Bagà,Barcelona,Berguedà
Marín,Pontevedra,Morrazo
Leioa,Bizkaia,
Chandrexa de Queixa,Ourense,Terra de Trives
Monzón,Huesca,Cinca Medio
Calzadilla,Cáceres,
Balones,Alicante,
Manresa,Barcelona,Bages
Cistierna,León,
Carballeda de Valdeorras,Ourense,Valdeorras
Azuébar,Castellón,
Almendralejo,Badajoz,
Valverde de Leganés,Badajoz,
Huévar del Aljarafe,Sevilla,
Prado del Rey,Cádiz,Sierra de Cádiz
Colmenar del Arroyo,Madrid,
Cabanyes (Les),Barcelona,Alt Penedès
Herrera del Duque,Badajoz,
Sant Just Desvern,Barcelona,Baix Llobregat
Castellolí,Barcelona,Anoia
Berlanga,Badajoz,
Villatuerta,Navarra,Estellerria
Estivella,Valencia,
Llers,Girona,Alt Empordà
Picón,Ciudad Real,
Capellades,Barcelona,Anoia
Llerena,Badajoz,
Granada (La),Barcelona,Alt Penedès
Santa Margarida i els Monjos,Barcelona,Alt Penedès
Santa Margarida de Montbui,Barcelona,Anoia
Garcia,Tarragona,Ribera d'Ebre
Geria,Valladolid,
Alcàsser,Valencia,l'Horta Sud
Arenas de San Pedro,Ávila,
Entrimo,Ourense,A Baixa Limia
Arnuero,Cantabria,
Sentmenat,Barcelona,Vallès Occidental
Navalmoral,Ávila,
Castelldefels,Barcelona,Baix Llobregat
Papiol (El),Barcelona,Baix Llobregat
Bràfim,Tarragona,Alt Camp
Torre de Claramunt (La),Barcelona,Anoia
Mogán,Las Palmas,
Alcañiz,Teruel,Bajo Aragón
Soto del Real,Madrid,
Ullastrell,Barcelona,Vallès Occidental
Ariza,Zaragoza,Comunidad de Calatayud
Mazaricos,A Coruña,O Xallas
Tremp,Lleida,Pallars Jussà
Móra la Nova,Tarragona,Ribera d'Ebre
Sant Quirze del Vallès,Barcelona,Vallès Occidental
Pezuela de las Torres,Madrid,
Torrelles de Llobregat,Barcelona,Baix Llobregat
Alpuente,Valencia,La Serranía
Tresviso,Cantabria,
Cuntis,Pontevedra,Caldas
Valdáliga,Cantabria,
Campillo de la Jara (El),Toledo,
Valdelugueros,León,
Ojén,Málaga,Sierra de las Nieves
Valencia de Alcántara,Cáceres,
Aldeanueva de la Vera,Cáceres,
Fontellas,Navarra,Ribera / Erribera
Sant Andreu de la Barca,Barcelona,Baix Llobregat
Colindres,Cantabria,
Casas de Don Pedro,Badajoz,
Gelsa,Zaragoza,Ribera Baja del Ebro
Andorra,Teruel,Andorra-Sierra de Arcos
Santa Coloma de Queralt,Tarragona,Conca de Barberà
Hospitalet de Llobregat (L'),Barcelona,Barcelonès
Cornudella de Montsant,Tarragona,Priorat
María de Huerva,Zaragoza,Zaragoza
Corvera de Toranzo,Cantabria,
Calahorra,La Rioja,
Rúa (A),Ourense,Ourense
Cobeja,Toledo,
Villacarriedo,Cantabria,
Oropesa,Toledo,
San Emiliano,León,
Chiclana de la Frontera,Cádiz,Bahía de Cádiz
Becerril de Campos,Palencia,
Guadix,Granada,Comarca de Guadix
Collbató,Barcelona,Baix Llobregat
Morata de Jalón,Zaragoza,Valdejalón
Elche,Alicante,el Baix Vinalopó
Viladecavalls,Barcelona,Vallès Occidental
Ribes de Freser,Girona,Ripollès
Mazariegos,Palencia,
Boltaña,Huesca,
Vilabella,Tarragona,Alt Camp
Santa Coloma de Gramenet,Barcelona,Barcelonès
Santa Fe del Penedès,Barcelona,Alt Penedès
Brunete,Madrid,
Buñuel,Navarra,Ribera / Erribera
Allande,Asturias,
Sant Jaume d'Enveja,Tarragona,Montsià
Iza,Navarra,Iruñerria
Aldeacentenera,Cáceres,
Oliva de la Frontera,Badajoz,
Vega de Pas,Cantabria,
Muniesa,Teruel,
Ponts,Lleida,Noguera
Valverde de la Virgen,León,
Camaleño,Cantabria,
Puebla de Lillo,León,
San Adrián,Navarra,Estellerria
Monistrol de Calders,Barcelona,Moianès
Gavà,Barcelona,Baix Llobregat
Calzada de los Molinos,Palencia,
Abrera,Barcelona,Baix Llobregat
Argelita,Castellón,
Santa Cruz de Bezana,Cantabria,
Baltanás,Palencia,
Biota,Zaragoza,Cinco Villas
Carme,Barcelona,Anoia
Guadalaviar,Teruel,Sierra de Albarracín
Coria,Cáceres,
Pallejà,Barcelona,Baix Llobregat
Abejar,Soria,
Castañeda,Cantabria,
Bermeo,Bizkaia,
Miajadas,Cáceres,
Matapozuelos,Valladolid,
Arroyomolinos de la Vera,Cáceres,
Torre de Juan Abad,Ciudad Real,
Allepuz,Teruel,Maestrazgo
Espluga de Francolá (L'),Tarragona,
Bárcena de Pie de Concha,Cantabria,
Bellver de Cerdanya,Lleida,Cerdanya
Riudoms,Tarragona,Baix Camp
Maçanet de Cabrenys,Girona,Alt Empordà
Pinseque,Zaragoza,Ribera Alta del Ebro
Monroyo,Teruel,
Rasines,Cantabria,
Puebla de Sanabria,Zamora,
Sant Josep de sa Talaia,Baleares (Illes),Eivissa
Culleredo,A Coruña,A Coruña
Atzeneta del Maestrat,Castellón,l'Alt Maestrat
Cardiel de los Montes,Toledo,
Bruc (El),Barcelona,Anoia
Fresnillo de las Dueñas,Burgos,
Betxí,Castellón,
Marina de Cudeyo,Cantabria,
Falset,Tarragona,Priorat
Avià,Barcelona,Berguedà
Besalú,Girona,Garrotxa
Sant Joan de Labritja,Baleares (Illes),Eivissa
Cardona,Barcelona,Bages
Sant Martá de Tous,Barcelona,
Navalosa,Ávila,
Puente la Reina/Gares,Navarra,Izarbeibar-Novenera
Caspe,Zaragoza,Bajo Aragón-Caspe / Baix Aragó-Casp
Frago (El),Zaragoza,Cinco Villas
Escatrón,Zaragoza,Ribera Baja del Ebro
Rueda de Jalón,Zaragoza,Valdejalón
Guriezo,Cantabria,
Écija,Sevilla,
Mairena del Alcor,Sevilla,
Majadahonda,Madrid,
Calafell,Tarragona,Baix Penedès
Alforque,Zaragoza,Ribera Baja del Ebro
Limpias,Cantabria,
Chóvar,Castellón,
Biel,Zaragoza,Cinco Villas
Navarcles,Barcelona,Bages
Santa Pau,Girona,Garrotxa
Artajona,Navarra,Izarbeibar-Novenera
Valleseco,Las Palmas,
Lles de Cerdanya,Lleida,Cerdanya
Ayegui,Navarra,Estellerria
Cintruénigo,Navarra,Ribera / Erribera
Sant Martá Sarroca,Barcelona,
Prades,Tarragona,Baix Camp
Vallromanes,Barcelona,Vallès Oriental
Valdeolmos-Alalpardo,Madrid,
Yunquera de Henares,Guadalajara,
Lodosa,Navarra,Estellerria
Sant Iscle de Vallalta,Barcelona,Maresme
Cercs,Barcelona,Berguedà
Vic,Barcelona,Osona
Villanueva de Castellón,Valencia,
Sant Jaume dels Domenys,Tarragona,Baix Penedès
Alcaudete,Jaén,
Seseña,Toledo,
Vilassar de Dalt,Barcelona,Maresme
Maià de Montcal,Girona,Garrotxa
Riera de Gaià (La),Tarragona,Tarragonès
Riudecanyes,Tarragona,Baix Camp
Castellvell del Camp,Tarragona,Baix Camp
Fuensalida,Toledo,
Matallana de Torío,León,
Fontanars dels Alforins,Valencia,
Martorelles,Barcelona,Vallès Oriental
Santa Cruz de la Zarza,Toledo,
Premià de Dalt,Barcelona,Maresme
Malagón,Ciudad Real,
Benavente,Zamora,
Benafer,Castellón,
Villaminaya,Toledo,
Campezo,Araba/Álava,Arabako Mendialdea
Uncastillo,Zaragoza,Cinco Villas
Binaced,Huesca,Cinca Medio
Moncada,Valencia,
Fuentes de Ebro,Zaragoza,Zaragoza
Cartes,Cantabria,
Trasierra,Badajoz,
Cadrete,Zaragoza,Zaragoza
Loja,Granada,Comarca de Loja
Parla,Madrid,
Santiago de Compostela,A Coruña,Santiago
Pobla de Vallbona (la),Valencia,
Arguis,Huesca,Hoya de Huesca / Plana de Uesca
Sartaguda,Navarra,Estellerria
Illescas,Toledo,
Aracena,Huelva,Sierra de Huelva
Villarino de los Aires,Salamanca,
Roca del Vallès (La),Barcelona,Vallès Oriental
Fabara,Zaragoza,Bajo Aragón-Caspe / Baix Aragó-Casp
Pamplona/Iruña,Navarra,Iruñerria
Fabero,León,El Bierzo
Buste (El),Zaragoza,Tarazona y el Moncayo
Melgar de Yuso,Palencia,
Náquera,Valencia,
Belchite,Zaragoza,Campo de Belchite
Font-rubá,Barcelona,
Villamanrique,Ciudad Real,
Pasarón de la Vera,Cáceres,
Casserres,Barcelona,Berguedà
Llinars del Vallès,Barcelona,Vallès Oriental
Maqueda,Toledo,
Rincón de Soto,La Rioja,
Benasal,Castellón,l'Alt Maestrat
Aleixar (L'),Tarragona,Baix Camp
Mombeltrán,Ávila,
Cervera,Lleida,Segarra
Almoradí,Alicante,el Baix Segura / La Vega Baja
Miranda de Ebro,Burgos,
Pola de Gordón (La),León,
Carmona,Sevilla,
Monzón de Campos,Palencia,
Lerín,Navarra,Estellerria
Cardedeu,Barcelona,Vallès Oriental
Villanueva de la Serena,Badajoz,
Mataró,Barcelona,Maresme
Villanueva del Rosario,Málaga,Nororma
Castromocho,Palencia,
Irurtzun,Navarra,Sakana
Pinet,Valencia,
Alcorcón,Madrid,
Prádanos de Ojeda,Palencia,
Sant Hilari Sacalm,Girona,la Selva
Marcilla,Navarra,Erriberagoiena / Ribera Alta
Almazora,Castellón,la Plana Alta
Egüés,Navarra,Iruñerria
Perafort,Tarragona,Tarragonès
Eslida,Castellón,
Alfondeguilla,Castellón,
Igualeja,Málaga,Serranía de Ronda
Ampuero,Cantabria,
San Felices de Buelna,Cantabria,
Villoldo,Palencia,
Güejar Sierra,Granada,Comarca de la Vega de Granada
Montán,Castellón,
Sant Fost de Campsentelles,Barcelona,Vallès Oriental
Pinos Genil,Granada,Comarca de la Vega de Granada
Cabrejas del Pinar,Soria,
Punta Umbráa,Huelva,
Santa Cruz del Retamar,Toledo,
Alcora (l'),Castellón,
Griegos,Teruel,Sierra de Albarracín
Aliseda,Cáceres,
Salvatierra de los Barros,Badajoz,
Hermandad de Campoo de Suso,Cantabria,
Cervera de Pisuerga,Palencia,
Torrenueva,Ciudad Real,
Touro,A Coruña,Arzúa
Santiurde de Reinosa,Cantabria,
Barakaldo,Bizkaia,
Campoo de Enmedio,Cantabria,
Alfara del Patriarca,Valencia,
Prat de Llobregat (El),Barcelona,Baix Llobregat
Santa Maráa de Cayón,Cantabria,
Artzentales,Bizkaia,
Bellcaire d'Empordà,Girona,Baix Empordà
Rascafráa,Madrid,
Orendain,Gipuzkoa,
Montbrió del Camp,Tarragona,Baix Camp
Rioseco de Tapia,León,
Esquivias,Toledo,
Penagos,Cantabria,
Villaconejos,Madrid,
Campoo de Yuso,Cantabria,
Olmedo,Valladolid,
Sant Joan les Fonts,Girona,Garrotxa
Gatika,Bizkaia,
Malpartida de Plasencia,Cáceres,
Vansa i Fórnols (La),Lleida,Alt Urgell
Lanzaháta,Ávila,
Sant Vicenç dels Horts,Barcelona,Baix Llobregat
San Martán de Valdeiglesias,Madrid,
Puçol,Valencia,
Vall de Bianya (La),Girona,Garrotxa
Bañeza (La),León,
Castell de l'Areny,Barcelona,Berguedà
Albarreal de Tajo,Toledo,
Premià de Mar,Barcelona,Maresme
Òdena,Barcelona,Anoia
Morga,Bizkaia,
Loiu,Bizkaia,
Valdefresno,León,
Alcabón,Toledo,
Vilanova del Vallès,Barcelona,Vallès Oriental
Ordizia,Gipuzkoa,
Cabrera de Mar,Barcelona,Maresme
Montuïri,Baleares (Illes),Pla de Mallorca
Yeles,Toledo,
Escalonilla,Toledo,
Nogales,Badajoz,
Torre de las Arcas,Teruel,
Alborache,Valencia,
Valverde del Fresno,Cáceres,
Lucena del Cid,Castellón,
Manises,Valencia,l'Horta Sud
Castillo de Bayuela,Toledo,
Peñas de Riglos (Las),Huesca,Hoya de Huesca / Plana de Uesca
Ajalvir,Madrid,
Cellera de Ter (La),Girona,la Selva
Huerta del Marquesado,Cuenca,
Alpedrete,Madrid,
Peñausende,Zamora,
Jabalquinto,Jaén,
Marmolejo,Jaén,
Mont-ral,Tarragona,Alt Camp
Sant Feliu de Pallerols,Girona,Garrotxa
Seu d'Urgell (La),Lleida,Alt Urgell
Cabezón de la Sal,Cantabria,
Arjona,Jaén,
Cabrils,Barcelona,Maresme
Villanueva del Trabuco,Málaga,Nororma
Vegacervera,León,
Montcada i Reixac,Barcelona,Vallès Occidental
Jérica,Castellón,
Salinas del Manzano,Cuenca,
Lliçà d'Amunt,Barcelona,Vallès Oriental
Totanés,Toledo,
Medio Cudeyo,Cantabria,
Santiago de Calatrava,Jaén,
Montehermoso,Cáceres,
Figueroles,Castellón,
Alfoz de Lloredo,Cantabria,
Valdeolea,Cantabria,
Villatorres,Jaén,
Villalba del Rey,Cuenca,
Arenal (El),Ávila,
Almarcha (La),Cuenca,
Vilada,Barcelona,Berguedà
Puente Viesgo,Cantabria,
Prullans,Lleida,Cerdanya
Rielves,Toledo,
Miera,Cantabria,
Carpio de Tajo (El),Toledo,
Puerto Lápice,Ciudad Real,
Vilobá del Penedès,Barcelona,
Tarancón,Cuenca,
Páramo del Sil,León,El Bierzo
Pacs del Penedès,Barcelona,Alt Penedès
Frigiliana,Málaga,La Axarquía
Utrillas,Teruel,
Viladrau,Girona,Osona
Quintana de la Serena,Badajoz,
Alconera,Badajoz,
Meliana,Valencia,
Ormaiztegi,Gipuzkoa,
Moralzarzal,Madrid,
Cubillos del Sil,León,El Bierzo
Cabeza del Buey,Badajoz,
Sot de Chera,Valencia,La Serranía
Pedroñeras (Las),Cuenca,
Coll de Nargó,Lleida,Alt Urgell
Azuaga,Badajoz,
Sant Joan Despá,Barcelona,
Cabeza la Vaca,Badajoz,
Batea,Tarragona,Terra Alta
Catllar (El),Tarragona,Tarragonès
Anievas,Cantabria,
Ruesga,Cantabria,
Montferrer i Castellbò,Lleida,Alt Urgell
Bodonal de la Sierra,Badajoz,
Begues,Barcelona,Baix Llobregat
Almedina,Ciudad Real,
Castelldans,Lleida,Garrigues
Karrantza Harana/Valle de Carranza,Bizkaia,
Salinas,Alicante,
San Miguel de Bernuy,Segovia,
Castellgalá,Barcelona,
Móstoles,Madrid,
Arredondo,Cantabria,
Puerto de la Cruz,Santa Cruz de Tenerife,
Llosa de Ranes (la),Valencia,
Bande - Muáños,Ourense,
Muras,Lugo,Terra Chá
Meco,Madrid,
Burela,Lugo,A Mariña Central
Llombai,Valencia,
Belmonte de Miranda,Asturias,
Taramundi,Asturias,
Hellán,Albacete,
Cuarte de Huerva,Zaragoza,Zaragoza
Benicolet,Valencia,
Baña (A),A Coruña,A Barcala
Millares,Valencia,
Almonte,Huelva,El Condado
Coslada,Madrid,
Anglè,Girona,
Chera,Valencia,
Alginet,Valencia,
Barruelo de Santullán,Palencia,
Campo Lameiro,Pontevedra,Pontevedra
Sanxenxo,Pontevedra,O Salnés
Cedeira,A Coruña,Ferrol
Navacerrada,Madrid,
Padrón,A Coruña,O Sar
Cortes de Pallás,Valencia,
Nava de la Asunción,Segovia,
Pobra de Trives (A),Ourense,Terra de Trives
Dolores,Alicante,el Baix Segura / La Vega Baja
Montroy,Valencia,
Vilafant,Girona,Alt Empordà
Albal,Valencia,l'Horta Sud
Massanassa,Valencia,l'Horta Sud
Domeño,Valencia,La Serranía
Olmedilla de Alarcón,Cuenca,
Loriguilla,Valencia,
Arona,Santa Cruz de Tenerife,
Losa del Obispo,Valencia,La Serranía
Chiva,Valencia,
Paiporta,Valencia,l'Horta Sud
Casinos,Valencia,
Madarcos,Madrid,
Pobla de Farnals (la),Valencia,
Pozuelo de Alarcón,Madrid,
Pedralba,Valencia,La Serranía
Chella,Valencia,
Lozoyuela-Navas-Sieteiglesias,Madrid,
Arenys de Mar,Barcelona,Maresme
Benetússer,Valencia,l'Horta Sud
Sant Joan de Moró,Castellón,la Plana Alta
Sant Carles de la Ràpita,Tarragona,Montsià
Sant Pol de Mar,Barcelona,Maresme
Puig,Valencia,
Arganda del Rey,Madrid,
Córdoba - Jaén,Córdoba,
Planes d'Hostoles (Les),Girona,Garrotxa
Gerindote,Toledo,
Vilavella (la),Castellón,
Palafrugell,Girona,Baix Empordà
Riudarenes,Girona,la Selva
Beuda,Girona,Garrotxa
Lekunberri,Navarra,Larraun-Leitzaldea
Villasabariego,León,
Trillo,Guadalajara,
Banyeres de Mariola,Alicante,
Agres,Alicante,
Fuente Álamo de Murcia,Murcia,Campo de Cartagena y Mar Menor
Caravaca de la Cruz,Murcia,Noroeste
Muros de Nalón,Asturias,
Mijas,Málaga,Costa del Sol Occidental
Ardales,Málaga,Guadalteba
Santovenia de la Valdoncina,León,
Sant Llorenç de la Muga,Girona,Alt Empordà
Beniarbeig,Alicante,
Villalonga,Valencia,
Coán,Málaga,
Villasequilla,Toledo,
Font de la Figuera (la),Valencia,
Montichelvo,Valencia,
Aznalcóllar,Sevilla,
Navas de San Juan,Jaén,
Llanes,Asturias,
Xerta,Tarragona,Baix Ebre
Villanueva de la Reina,Jaén,
Peal de Becerro,Jaén,
Venturada,Madrid,
Sella,Alicante,
Higueruelas,Valencia,La Serranía
Alfarràs,Lleida,Segrià
Sopuerta,Bizkaia,
Castillo de Locubín,Jaén,
Olivenza,Badajoz,
Sant Esteve de Palautordera,Barcelona,Vallès Oriental
Puig-reig,Barcelona,Berguedà
Viñuela,Málaga,La Axarquía
Torrox,Málaga,La Axarquía
Posadas,Córdoba,
Gáldar,Las Palmas,
Casarrubios del Monte,Toledo,
Cendejas de Enmedio,Guadalajara,
Beniatjar,Valencia,
Malgrat de Mar,Barcelona,Maresme
Noia,A Coruña,Noia
Cedillo del Condado,Toledo,
Pantoja,Toledo,
Altura,Castellón,
San Martán del Castañar,Salamanca,
Rute,Córdoba,
San Martán de Pusa,Toledo,
Torremolinos,Málaga,Costa del Sol Occidental
Benisanó,Valencia,
Mocejón,Toledo,
Montilla,Córdoba,
Alcalà de Xivert,Castellón,el Baix Maestrat
Porcuna,Jaén,
Álora,Málaga,Valle del Guadalhorce
Torre de Miguel Sesmero,Badajoz,
Sant Antoni de Portmany,Baleares (Illes),Eivissa
Olocau del Rey,Castellón,
Jalón,Alicante,
Miguel Esteban,Toledo,
Llíber,Alicante,
Polop,Alicante,
Almorox,Toledo,
Istán,Málaga,Sierra de las Nieves
Cànoves i Samalús,Barcelona,Vallès Oriental
Riba-roja de Túria,Valencia,
Sant Joan d'Alacant,Alicante,l'Alacantí
Alhaurán de la Torre,Málaga,
Periana,Málaga,La Axarquía
Genovés,Valencia,
Seva - Montseny,Barcelona,
Moaña,Pontevedra,Morrazo
Roda de Andalucáa (La),Sevilla,
Chodos,Castellón,
Folgoso do Courel,Lugo,Quiroga
Meñaka,Bizkaia,
Fernán-Núñez,Córdoba,
Almussafes,Valencia,
Alconchel,Badajoz,
Pelahustán,Toledo,
Casabermeja,Málaga,Antequera
Alzira,Valencia,
Villacarrillo,Jaén,
Ibi,Alicante,
Alcolea de Tajo,Toledo,
Magán,Toledo,
Sabiote,Jaén,
Villarrubia de Santiago,Toledo,
Garrigàs,Girona,Alt Empordà
Sant Adrià de Besòs,Barcelona,Barcelonès
Caravaca de la Cruz - Abya-Paluoya,Murcia,
Moratalla,Murcia,Noroeste
Cebolla,Toledo,
Toreno,León,El Bierzo
Montizón,Jaén,
Merindad de Montija - Alegría-Dulantzi,Burgos,
Huerta de Valdecarábanos,Toledo,
Munébrega,Zaragoza,Comunidad de Calatayud
Albuera (La),Badajoz,
Tejeda,Las Palmas,
Zalamea de la Serena,Badajoz,
Villanueva del Río y Minas,Sevilla,
Ezcaray,La Rioja,
Padrenda,Ourense,Terra da Celanova
Villar del Arzobispo,Valencia,La Serranía
Orba,Alicante,
Macastre,Valencia,
Pelayos de la Presa,Madrid,
San Pedro del Pinatar,Murcia,Campo de Cartagena y Mar Menor
San Javier,Murcia,Campo de Cartagena y Mar Menor
Gorafe,Granada,Comarca de Guadix
Puerto Lumbreras,Murcia,Alto Guadalentín
Roda de Ter,Barcelona,Osona
Tarifa,Cádiz,Campo de Gibraltar
Arrasate/Mondragón,Gipuzkoa,
Güeñes - Alegría-Dulantzi,Bizkaia,
Santiago-Pontones,Jaén,
Gernika-Lumo,Bizkaia,
Fuentidueña de Tajo,Madrid,
Sant Pere de Vilamajor,Barcelona,Vallès Oriental
Higueras,Castellón,
Abanilla,Murcia,Oriental
Andoain,Gipuzkoa,
Soneja,Castellón,
Montejaque,Málaga,Serranía de Ronda
Calamonte,Badajoz,
Cadaqués,Girona,Alt Empordà
Ronquillo (El),Sevilla,
Almogía,Málaga,Valle del Guadalhorce
Sénia (La),Tarragona,Montsià
Aldea del Rey,Ciudad Real,
Salines (Ses),Baleares (Illes),Migjorn
Nogal de las Huertas,Palencia,
Algimia de Almonacid,Castellón,
Villaseca de la Sagra,Toledo,
Torreperogil,Jaén,
Icod de los Vinos,Santa Cruz de Tenerife,
Traiguera,Castellón,el Baix Maestrat
Chinchilla de Monte-Aragón,Albacete,
Badia del Vallès,Barcelona,Vallès Occidental
Higuera de la Sierra,Huelva,Sierra de Huelva
Méntrida,Toledo,
Garray,Soria,
Puebla de Don Rodrigo,Ciudad Real,
Alegría-Dulantzi,Araba/Álava,Arabako lautada
Merindad de Montija,Burgos,
Senija,Alicante,
Andratx,Baleares (Illes),Serra de Tramuntana
Romeral (El),Toledo,
Vilamaniscle,Girona,Alt Empordà
Urduña-Orduña,Bizkaia,
Dosbarrios,Toledo,
Valverde del Camino,Huelva,El Andévalo
Sueca,Valencia,
Vilaflor,Santa Cruz de Tenerife,
Baena,Córdoba,
Candelario,Salamanca,
Mejorada del Campo,Madrid,
Yátova,Valencia,
Fuenmayor,La Rioja,
Sencelles,Baleares (Illes),Pla de Mallorca
Maria de la Salut,Baleares (Illes),Pla de Mallorca
Murchante,Navarra,Ribera / Erribera
Alfara de Carles,Tarragona,Baix Ebre
Quart de Poblet,Valencia,l'Horta Sud
Bigues i Riells,Barcelona,Vallès Oriental
Fuente de Pedro Naharro,Cuenca,
Graus,Huesca,
Cártama,Málaga,Valle del Guadalhorce
Sotillo de la Adrada,Ávila,
Fresno (El),Ávila,
Barraco (El),Ávila,
Villaluenga de la Sagra,Toledo,
Cariñena,Zaragoza,Campo de Cariñena
San Juan de la Rambla,Santa Cruz de Tenerife,
Navahermosa,Toledo,
Garde,Navarra,Pirinioak
Letur,Albacete,
Puebla de Arenoso,Castellón,
Castro del Río,Córdoba,
Lloret de Vistalegre,Baleares (Illes),Pla de Mallorca
Victoria de Acentejo (La),Santa Cruz de Tenerife,
Almensilla,Sevilla,
Orba - Jalón,Alicante,
San Román de los Montes,Toledo,
Luciana,Ciudad Real,
Lorquí,Murcia,Vega Media del Segura
Adeje,Santa Cruz de Tenerife,
