municipio,provincia,comarca
Benalúa,Granada,Comarca de Guadix
Pulianas,Granada,Comarca de la Vega de Granada
"Guajares, Los",Granada,Comarca del Valle de Lecrín
Bérchules,Granada,Comarca de la Alpujarra Granadina
Níjar,Almería,
Fonelas,Granada,Comarca de Guadix
"Calahorra, La",Granada,Comarca de Guadix
Finestrat,Alicante/Alacant,
Cádiar,Granada,Comarca de la Alpujarra Granadina
Alhama de Almería,Almería,
Rincón de la Victoria,Málaga,La Axarquía
Montillana,Granada,Comarca de Los Montes
Tahal,Almería,
Pulpí,Almería,
Montefrío,Granada,Comarca de Loja
Gérgal,Almería,
Dólar,Granada,Comarca de Guadix
Antas,Almería,
Uleila del Campo,Almería,
Macael,Almería,Valle del Almanzora
Guadix,Granada,Comarca de Guadix
Aldeire,Granada,Comarca de Guadix
Albuñol,Granada,Comarca de la Costa Granadina
Rioja,Almería,
Galera,Granada,Comarca de Huéscar
Canjáyar,Almería,
Vera,Almería,
Colomera,Granada,Comarca de Los Montes
Tíjola,Almería,Valle del Almanzora
Nívar,Granada,Comarca de la Vega de Granada
Alfacar,Granada,Comarca de la Vega de Granada
Lanteira,Granada,Comarca de Guadix
Carboneras,Almería,
Balanegra,Almería,
Lújar,Granada,Comarca de la Costa Granadina
Otura,Granada,Comarca de la Vega de Granada
Jerez del Marquesado,Granada,Comarca de Guadix
Purullena,Granada,Comarca de Guadix
Fornes,Granada,Comarca de Alhama
Abla,Almería,
Armilla,Granada,Comarca de la Vega de Granada
"Las Norias, El Ejido",Almería,
Laroya,Almería,Valle del Almanzora
La Peza,Granada,Comarca de Guadix
Zújar,Granada,Comarca de Baza
Benarrabá,Málaga,Serranía de Ronda
Calahonda,Granada,Comarca de la Costa Granadina
Torrenueva Costa,Granada,Comarca de la Costa Granadina
Málaga,Málaga,Málaga-Costa del Sol
Gádor,Almería,
Madrid,Madrid,
Mojácar,Almería,
Frailes,Jaén,
Martos,Jaén,
Bedmar y Garcíez,Jaén,
Villatorres,Jaén,
Santiago de Calatrava,Jaén,
Huelma,Jaén,
Caniles,Granada,Comarca de Baza
Alcalá la Real,Jaén,
Marmolejo,Jaén,
Mengíbar,Jaén,
Baeza,Jaén,
Pedro Martínez,Granada,Comarca de Los Montes
Sierro,Almería,Valle del Almanzora
Pinos Genil,Granada,Comarca de la Vega de Granada
Jódar,Jaén,
Zafarraya,Granada,Comarca de Alhama
Jabalquinto,Jaén,
Armuña de Almanzora,Almería,Valle del Almanzora
Arjona,Jaén,
Ibros,Jaén,
Torredelcampo,Jaén,
Moclín,Granada,Comarca de Loja
Vilches,Jaén,
Andújar,Jaén,
Beas de Segura,Jaén,
Torres,Jaén,
Mancha Real,Jaén,
"Zubia, La",Granada,Comarca de la Vega de Granada
Cazorla,Jaén,
Dalías,Almería,
Posadas,Córdoba,
Villargordo,Jaén,
Abrucena,Almería,
Pampaneira,Granada,Comarca de la Alpujarra Granadina
Campotéjar,Granada,Comarca de Los Montes
Alicún,Almería,
Quéntar,Granada,Comarca de la Vega de Granada
Atajate,Málaga,Serranía de Ronda
Sanlúcar de Barrameda,Cádiz,Costa Noroeste
Lubrín,Almería,
Puebla de Don Fadrique,Granada,Comarca de Huéscar
Villanueva del Arzobispo,Jaén,
Béjar,Salamanca,
Cogollos de la Vega,Granada,Comarca de la Vega de Granada
Lorca,Murcia,Alto Guadalentín
Linares,Jaén,
Tarifa,Cádiz,Campo de Gibraltar
Adra,Almería,
Purchena,Almería,Valle del Almanzora
Ceuta,Ceuta,
Pechina,Almería,
Torrox,Málaga,La Axarquía
Valderrubio,Granada,Comarca de la Vega de Granada
Viator,Almería,
Santa Fe de Mondújar,Almería,
Cambil,Jaén,
Padul,Granada,Comarca del Valle de Lecrín
Torreperogil,Jaén,
Tabernas,Almería,
Cualquier lugar del mundo,Cualquier lugar del mundo,
"Gallardos, Los",Almería,
Huércal-Overa,Almería,
"Villajoyosa/Vila Joiosa, la",Alicante/Alacant,
"Barrios, Los",Cádiz,Campo de Gibraltar
Molina de Segura,Murcia,Vega Media del Segura
Altea,Alicante/Alacant,
Mérida,Badajoz,
"Alcázares, Los",Murcia,Campo de Cartagena y Mar Menor
España,ESPAÑA,
Illora,Granada,Comarca de Loja
Lugros,Granada,Comarca de Guadix
Estepona,Málaga,Costa del Sol Occidental
Albondón,Granada,Comarca de la Costa Granadina
"Pinar, El",Granada,Comarca de Los Montes
Cantoria,Almería,Valle del Almanzora
Albox,Almería,Valle del Almanzora
Albanchez de Mágina,Jaén,
Maracena,Granada,Comarca de la Vega de Granada
Fondón,Almería,
Víznar,Granada,Comarca de la Vega de Granada
Menasalbas,Toledo,
Chauchina,Granada,Comarca de la Vega de Granada
"Valle, El",Granada,Comarca del Valle de Lecrín
Moraleda de Zafayona,Granada,Comarca de Loja
Cuevas del Campo,Granada,Comarca de Baza
Nigüelas,Granada,Comarca del Valle de Lecrín
Ugíjar,Granada,Comarca de la Alpujarra Granadina
Benalúa de las Villas,Granada,Comarca de Los Montes
"Taha, La",Granada,Comarca de la Alpujarra Granadina
Montejícar,Granada,Comarca de Los Montes
Jayena,Granada,Comarca de Alhama
"Gabias, Las",Granada,Comarca de la Vega de Granada
Itrabo,Granada,Comarca de la Costa Granadina
Murtas,Granada,Comarca de la Alpujarra Granadina
Huéneja,Granada,Comarca de Guadix
