municipio,comarca,provincia
SALVATIERRA DE LOS BARROS,,Badajoz
ALCALA DE GUADAIRA,,Sevilla
MONTERRUBIO DE LA SERENA,,Badajoz
Cadiz,Bahía de Cádiz,Andalucía
JEREZ DE LA FRONTERA,Campiña de Jerez,Andalucía
JEREZ DE LOS CABALLEROS,,Badajoz
CASTUERA,,Badajoz
Huesa,,Jaén
VEJER DE LA FRONTERA,La Janda,Andalucía
JEDULA,Sierra de Cádiz,Andalucía
TORREDONJIMENO,,Jaén
VALDEPEÑAS DE JAEN,,Jaén
ROTA,Costa Noroeste,Andalucía
CAZALLA DE LA SIERRA,,Sevilla
QUESADA,,Jaén
SETENIL DE LAS BODEGAS,Sierra de Cádiz,Andalucía
TORREDELCAMPO,,Jaén
MERIDA,,Badajoz
ECIJA,,Sevilla
Monesterio,,Badajoz
Berlanga,El Bierzo,León
CASTILLO LOCUBIN,,Jaén
SAN FERNANDO,Bahía de Cádiz,Andalucía
POZOBLANCO,,Córdoba
SEVILLA,,Sevilla
ALGECIRAS,Campo de Gibraltar,Andalucía
ALFACAR,Comarca de la Vega de Granada,Granada
CARMONA,,Sevilla
PUNTA UMBRIA,Comarca Metropolitana de Huelva,Huelva
CHICLANA DE LA FRONTERA,Bahía de Cádiz,Andalucía
LA LINEA DE LA CONCEPCIÓN,Campo de Gibraltar,Andalucía
ARROYO OJANCO,,Jaén
PRADO DEL REY,Sierra de Cádiz,Andalucía
MARINALEDA,,Sevilla
AGRUPACION DE MOGON,,Jaén
PALMA DEL RIO,,Córdoba
FRAILES,,Jaén
SANTIAGO PONTONES,,Jaén
ZAHARA DE LA SIERRA,Sierra de Cádiz,Andalucía
ZUJAR,Comarca de Baza,Granada
EL PUERTO DE SANTA MARIA,Bahía de Cádiz,Andalucía
RICON DE LA VICTORIA,,
JIMENA,,Jaén
CAZORLA,,Jaén
PRIEGO DE CORDOBA,,Córdoba
ALDEHERMOSA DE MONTIZÓN,,
ARAHAL,,Sevilla
ALCALA LA REAL,,Jaén
EL GUIJO,,Córdoba
AGRUPACION MOGON,,Jaén
LA CAMPANA,,Sevilla
RUS,,Jaén
SANTIAGO DE LA ESPADA- PONTONES,,Jaén
PUENTE GENAVE,,Jaén
HORNOS DE SEGURA,,Jaén
POZO ALCÓN,,Jaén
MARMOLEJO,,Jaén
SANLUCAR DE BARRAMEDA,Costa Noroeste,Andalucía
Agrupación de Mogón (Villacarrillo),,Jaén
SANTIAGO DELA ESPADA,,
SANTIAGO DE LA ESPADA,,Jaén
PUERTO REAL,Bahía de Cádiz,Andalucía
TESORILLO,Comarca de la Vega de Granada,Granada
VILLANUEVA DEL ARZOBISPO,,Jaén
Jerez de la Frontera,Campiña de Jerez,Andalucía
Torreperogil,,Jaén
SAN PABLO DE BUCEITE,Campo de Gibraltar,Andalucía
PEÑARROYA,Gúdar-Javalambre,Aragón
Torredonjimeno,,Jaén
CHICLANA DE SEGURA,,Jaén
CUEVAS DEL CAMPO,Comarca de Baza,Granada
SABIOTE,,Jaén
CARRIÓN DE LOS CÉSPEDES,,Sevilla
LA PALMA DEL CONDADO,El Condado,Huelva
Alcala la Real,,Jaén
Mancha Real,,Jaén
MELILLA,,Melilla
ROQUETAS DE MAR,,Almería
Córdoba,,Córdoba
PONTONES - SANTIAGO DE LA ESPADA,,Jaén
El Ejido,,Almería
Cádiz,Bahía de Cádiz,Andalucía
Aldeahermosa de Montizón,,Jaén
Aznalcollar,,Sevilla
ARCOS DE LA FRONTERA,Sierra de Cádiz,Andalucía
ZUHEROS,,Córdoba
Vejer de la Frontera,La Janda,Andalucía
Alcala de Guadaira,,Sevilla
Pontones,,Cantabria
